2025-12-24T08:46:32.000000000Z [inf]  Starting Container
2025-12-24T08:46:33.871056941Z [err]  Traceback (most recent call last):
2025-12-24T08:46:33.871064744Z [err]    File "/opt/venv/bin/uvicorn", line 8, in <module>
2025-12-24T08:46:33.871072321Z [err]      sys.exit(main())
2025-12-24T08:46:33.871080317Z [err]               ^^^^^^
2025-12-24T08:46:33.871088349Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1485, in __call__
2025-12-24T08:46:33.871095172Z [err]      return self.main(*args, **kwargs)
2025-12-24T08:46:33.871101815Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871109531Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1406, in main
2025-12-24T08:46:33.871116871Z [err]      rv = self.invoke(ctx)
2025-12-24T08:46:33.871125628Z [err]           ^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871136010Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1269, in invoke
2025-12-24T08:46:33.871141372Z [err]      return ctx.invoke(self.callback, **ctx.params)
2025-12-24T08:46:33.871300346Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871308754Z [err]  ^^^^^^^^^^
2025-12-24T08:46:33.871315895Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 824, in invoke
2025-12-24T08:46:33.871322404Z [err]      return callback(*args, **kwargs)
2025-12-24T08:46:33.871329125Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871336432Z [err]  
2025-12-24T08:46:33.871343231Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/main.py", line 424, in main
2025-12-24T08:46:33.871350116Z [err]      run(
2025-12-24T08:46:33.871357881Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/main.py", line 594, in run
2025-12-24T08:46:33.871368648Z [err]      server.run()
2025-12-24T08:46:33.871377394Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/server.py", line 67, in run
2025-12-24T08:46:33.871385160Z [err]      return asyncio_run(self.serve(sockets=sockets), loop_factory=self.config.get_loop_factory())
2025-12-24T08:46:33.871391889Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871841533Z [err]    File "/root/.nix-profile/lib/python3.12/asyncio/runners.py", line 194, in run
2025-12-24T08:46:33.871845376Z [err]      return runner.run(main)
2025-12-24T08:46:33.871850904Z [err]             ^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871854762Z [err]    File "/root/.nix-profile/lib/python3.12/asyncio/runners.py", line 118, in run
2025-12-24T08:46:33.871859586Z [err]      return self._loop.run_until_complete(task)
2025-12-24T08:46:33.871865121Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.871869054Z [err]  ^^^^^^^^^^^
2025-12-24T08:46:33.871873474Z [err]    File "uvloop/loop.pyx", line 1518, in uvloop.loop.Loop.run_until_complete
2025-12-24T08:46:33.871877643Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/server.py", line 71, in serve
2025-12-24T08:46:33.871883408Z [err]      await self._serve(sockets)
2025-12-24T08:46:33.871887570Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/server.py", line 78, in _serve
2025-12-24T08:46:33.871891899Z [err]      config.load()
2025-12-24T08:46:33.871902894Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/config.py", line 439, in load
2025-12-24T08:46:33.874703058Z [err]      self.loaded_app = import_from_string(self.app)
2025-12-24T08:46:33.874712147Z [err]                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.874718201Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/importer.py", line 19, in import_from_string
2025-12-24T08:46:33.874725950Z [err]      module = importlib.import_module(module_str)
2025-12-24T08:46:33.874730860Z [err]               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.874736091Z [err]    File "/root/.nix-profile/lib/python3.12/importlib/__init__.py", line 90, in import_module
2025-12-24T08:46:33.874740727Z [err]      return _bootstrap._gcd_import(name[level:], package, level)
2025-12-24T08:46:33.874745931Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:33.874753336Z [err]    File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
2025-12-24T08:46:33.874763160Z [err]    File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
2025-12-24T08:46:33.874768755Z [err]    File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
2025-12-24T08:46:33.874774260Z [err]    File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
2025-12-24T08:46:33.874781027Z [err]    File "<frozen importlib._bootstrap_external>", line 995, in exec_module
2025-12-24T08:46:33.874786395Z [err]    File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
2025-12-24T08:46:33.874791557Z [err]    File "/app/app/main.py", line 13, in <module>
2025-12-24T08:46:33.877563488Z [err]      from app.routers import auth, home, groups, orders, admin
2025-12-24T08:46:33.877570628Z [err]    File "/app/app/routers/auth.py", line 9, in <module>
2025-12-24T08:46:33.877576113Z [err]      from app.services.auth import (
2025-12-24T08:46:33.877581780Z [err]  ImportError: cannot import name 'get_line_user_profile' from 'app.services.auth' (/app/app/services/auth.py). Did you mean: 'get_line_profile'?
2025-12-24T08:46:36.510934807Z [err]  Traceback (most recent call last):
2025-12-24T08:46:36.510946360Z [err]    File "/opt/venv/bin/uvicorn", line 8, in <module>
2025-12-24T08:46:36.510953290Z [err]      sys.exit(main())
2025-12-24T08:46:36.510958781Z [err]               ^^^^^^
2025-12-24T08:46:36.510964628Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1485, in __call__
2025-12-24T08:46:36.510970219Z [err]      return self.main(*args, **kwargs)
2025-12-24T08:46:36.510976396Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:36.510982272Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1406, in main
2025-12-24T08:46:36.510990564Z [err]      rv = self.invoke(ctx)
2025-12-24T08:46:36.510996785Z [err]           ^^^^^^^^^^^^^^^^
2025-12-24T08:46:36.511002665Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 1269, in invoke
2025-12-24T08:46:36.511007963Z [err]      return ctx.invoke(self.callback, **ctx.params)
2025-12-24T08:46:36.511013676Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:36.511019617Z [err]    File "/opt/venv/lib/python3.12/site-packages/click/core.py", line 824, in invoke
2025-12-24T08:46:36.511025667Z [err]      return callback(*args, **kwargs)
2025-12-24T08:46:36.512341108Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2025-12-24T08:46:36.512350472Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/main.py", line 424, in main
2025-12-24T08:46:36.512357185Z [err]      run(
2025-12-24T08:46:36.512362053Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/main.py", line 594, in run
2025-12-24T08:46:36.512366538Z [err]      server.run()
2025-12-24T08:46:36.512371041Z [err]    File "/opt/venv/lib/python3.12/site-packages/uvicorn/server.py", line 67, in run
2025-12-24T08:46:36.512375565Z [err]      return asyncio_run(self.serve(sockets=sockets), loop_factory=self.config.get_loop_factory())
